Provinsi Asal,Kasus,Kasus Hari ini,Sembuh,Sembuh Hari Ini,Kematian,Meninggal Hari Ini,RI,CFR,Rasio Lacak & Isolasi
Aceh,37.733,40,34.027,101,1.927,10,90.2,5.1,0.29
Bali,112.582,86,107.627,229,3.943,5,95.6,3.5,0.00
Banten,131.475,59,128.002,87,2.67,1,97.4,2.0,0.40
Bangka Belitung,51.209,62,48.924,74,1.397,2,95.5,2.7,0.49
Bengkulu,23.021,2,22.463,10,466,0,97.6,2.0,0.80
DI Yogyakarta,154.829,67,148.125,190,5.19,5,95.7,3.4,0.42
DKI Jakarta,857.765,149,842.51,194,13.539,3,98.2,1.6,3.57
Jambi,29.547,18,28.366,9,767,0,96.0,2.6,0.14
Jawa Barat,702.722,161,685.219,288,14.624,11,97.5,2.1,0.34
Jawa Tengah,482.009,144,448.597,282,29.894,28,93.1,6.2,0.16
Jawa Timur,395.475,195,364.251,257,29.413,13,92.1,7.4,0.31
Kalimantan Barat,39.961,33,38.711,52,1.045,1,96.9,2.6,0.44
Kalimantan Timur,156.811,60,150.282,114,5.381,1,95.8,3.4,3.47
Kalimantan Tengah,45.162,34,42.338,47,1.367,0,93.7,3.0,0.35
Kalimantan Selatan,69.425,40,66.531,34,2.359,5,95.8,3.4,0.09
Kalimantan Utara,35.007,47,31.202,85,773,2,89.1,2.2,0.67
Kepulauan Riau,53.633,13,51.435,28,1.737,3,95.9,3.2,0.66
Nusa Tenggara Barat,27.423,28,26.38,28,799,0,96.2,2.9,0.88
Sumatera Selatan,59.615,30,56.184,37,3.046,4,94.2,5.1,1.57
Sumatera Barat,89.276,50,86.244,77,2.121,2,96.6,2.4,0.13
Sulawesi Utara,34.179,27,32.317,14,1.028,1,94.6,3.0,0.23
Sumatera Utara,104.706,75,100.076,166,2.837,1,95.6,2.7,0.00
Sulawesi Tenggara,20.03,5,19.216,43,523,0,95.9,2.6,0.48
Sulawesi Selatan,108.584,62,104.498,81,2.206,2,96.2,2.0,0.11
Sulawesi Tengah,46.341,43,43.858,63,1.561,2,94.6,3.4,0.04
Lampung,49.064,31,43.964,26,3.764,3,89.6,7.7,0.19
Riau,127.735,42,122.629,117,4.064,2,96.0,3.2,0.91
Maluku Utara,11.956,2,11.567,13,302,0,96.7,2.5,0.13
Maluku,14.524,4,14.113,15,258,0,97.2,1.8,0.05
Papua Barat,22.899,1,22.461,11,352,0,98.1,1.5,0.00
Papua,33.746,15,31.441,5,496,5,93.2,1.5,0.41
Sulawesi Barat,12.159,10,11.567,15,336,0,95.1,2.8,0.18
Nusa Tenggara Timur,62.716,52,60.747,52,1.296,1,96.9,2.1,0.07
Gorontalo,11.735,3,11.152,4,458,0,95.0,3.9,0.39
Dalam proses investigasi,0,0,,,,,,,
Total,"4,215,054",1.69,"4,037,024",2.848,141.939,113,95.8,3.4,1.06
